Year,Sub-Region,subregionID,Value
2010,North Africa,1,11.86393545
2010,sub-Saharan Africa,2,17.25324239
2010,Central America and the Caribbean,3,8.399267212
2010,North America,4,181.7429174
2010,South America,5,51.45592174
2010,Central Asia,12,3.168317598
2010,East Asia,6,21.18892958
2010,South Asia,7,69.15156188
2010,South East Asia,8,35.145355
2010,Oceania,9,26.35998544
2010,Eastern Europe,10,56.72511769
2010,Central and Western Europe,11,322.1462886
2011,North Africa,1,15.48749199
2011,sub-Saharan Africa,2,17.4346814
2011,Central America and the Caribbean,3,8.648559752
2011,North America,4,169.8497518
2011,South America,5,5.348199851
2011,Central Asia,12,3.477135888
2011,East Asia,6,22.98589176
2011,South Asia,7,7.266264139
2011,South East Asia,8,35.88161165
2011,Oceania,9,25.91614869
2011,Eastern Europe,10,61.13446859
2011,Central and Western Europe,11,31.93618692
2012,North Africa,1,16.35639849
2012,sub-Saharan Africa,2,17.73958316
2012,Central America and the Caribbean,3,9.172132444
2012,North America,4,11.55893798
2012,South America,5,51.65876255
2012,Central Asia,12,4.186996867
2012,East Asia,6,236.1876645
2012,South Asia,7,7.367533996
2012,South East Asia,8,38.7934816
2012,Oceania,9,25.55378354
2012,Eastern Europe,10,7.273519922
2012,Central and Western Europe,11,35.59319297
2013,North Africa,1,17.97333446
2013,sub-Saharan Africa,2,19.25469289
2013,Central America and the Caribbean,3,9.738529269
2013,North America,4,932.8536237
2013,South America,5,53.93723238
2013,Central Asia,12,4.521872756
2013,East Asia,6,249.6496932
2013,South Asia,7,7.745663334
2013,South East Asia,8,42.43288995
2013,Oceania,9,24.86556442
2013,Eastern Europe,10,73.55685548
2013,Central and Western Europe,11,295.3171693
2014,North Africa,1,19.51332975
2014,sub-Saharan Africa,2,19.99521288
2014,Central America and the Caribbean,3,1.324824138
2014,North America,4,878.7933144
2014,South America,5,54.54311262
2014,Central Asia,12,4.524486756
2014,East Asia,6,264.1645995
2014,South Asia,7,74.51718988
2014,South East Asia,8,41.87361355
2014,Oceania,9,26.77292538
2014,Eastern Europe,10,78.85898578
2014,Central and Western Europe,11,292.9615232
2015,North Africa,1,19.81229737
2015,sub-Saharan Africa,2,18.19528823
2015,Central America and the Caribbean,3,9.792789589
2015,North America,4,86.49592769
2015,South America,5,54.23344645
2015,Central Asia,12,4.666147832
2015,East Asia,6,281.1326424
2015,South Asia,7,76.36874739
2015,South East Asia,8,45.82594799
2015,Oceania,9,29.32827717
2015,Eastern Europe,10,84.9286567
2015,Central and Western Europe,11,296.4999324
2016,North Africa,1,19.83141292
2016,sub-Saharan Africa,2,17.79547164
2016,Central America and the Caribbean,3,1.734615513
2016,North America,4,857.4768336
2016,South America,5,51.56269422
2016,Central Asia,12,4.231525638
2016,East Asia,6,292.8662295
2016,South Asia,7,82.99959788
2016,South East Asia,8,46.21828464
2016,Oceania,9,32.1386958
2016,Eastern Europe,10,89.46494229
2016,Central and Western Europe,11,32.83887155
2017,North Africa,1,19.71262928
2017,sub-Saharan Africa,2,17.16555876
2017,Central America and the Caribbean,3,1.294264992
2017,North America,4,852.6865235
2017,South America,5,54.44476898
2017,Central Asia,12,3.873854424
2017,East Asia,6,36.19224518
2017,South Asia,7,88.79314914
2017,South East Asia,8,47.88789724
2017,Oceania,9,32.22349494
2017,Eastern Europe,10,74.16143593
2017,Central and Western Europe,11,31.66571389
2018,North Africa,1,18.49365518
2018,sub-Saharan Africa,2,17.11113334
2018,Central America and the Caribbean,3,11.14536697
2018,North America,4,877.2236211
2018,South America,5,55.56349799
2018,Central Asia,12,4.153131364
2018,East Asia,6,322.6383627
2018,South Asia,7,92.69597873
2018,South East Asia,8,46.35384679
2018,Oceania,9,31.72937316
2018,Eastern Europe,10,73.68383827
2018,Central and Western Europe,11,321.6755462
2019,North Africa,1,19.62848763
2019,sub-Saharan Africa,2,17.31178575
2019,Central America and the Caribbean,3,12.76429762
2019,North America,4,925.4212496
2019,South America,5,54.52283228
2019,Central Asia,12,5.294653899
2019,East Asia,6,339.437482
2019,South Asia,7,98.3916613
2019,South East Asia,8,47.39232427
2019,Oceania,9,33.75261334
2019,Eastern Europe,10,77.49664281
2019,Central and Western Europe,11,337.855644
2020,North Africa,1,2.459837836
2020,sub-Saharan Africa,2,18.2641168
2020,Central America and the Caribbean,3,14.8393183
2020,North America,4,97.42638696
2020,South America,5,54.17696259
2020,Central Asia,12,2.553661167
2020,East Asia,6,353.3199895
2020,South Asia,7,98.65676765
2020,South East Asia,8,49.21597887
2020,Oceania,9,34.61837575
2020,Eastern Europe,10,79.76741522
2020,Central and Western Europe,11,357.6764254
2021,North Africa,1,19.679845
2021,sub-Saharan Africa,2,19.95238444
2021,Central America and the Caribbean,3,14.44227542
2021,North America,4,959.2561178
2021,South America,5,53.39854643
2021,Central Asia,12,2.557167656
2021,East Asia,6,365.5553242
2021,South Asia,7,98.62925386
2021,South East Asia,8,5.394315187
2021,Oceania,9,36.45935799
2021,Eastern Europe,10,8.959735224
2021,Central and Western Europe,11,37.85483312
2022,North Africa,1,19.95842814
2022,sub-Saharan Africa,2,19.96719963
2022,Central America and the Caribbean,3,15.42873217
2022,North America,4,947.9483246
2022,South America,5,51.1515358
2022,Central Asia,12,2.487197998
2022,East Asia,6,375.3989658
2022,South Asia,7,1.326872149
2022,South East Asia,8,5.487783588
2022,Oceania,9,36.75866618
2022,Eastern Europe,10,134.7151586
2022,Central and Western Europe,11,38.69879587
2023,North Africa,1,27.51476264
2023,sub-Saharan Africa,2,2.963636239
2023,Central America and the Caribbean,3,15.41214149
2023,North America,4,972.1787214
2023,South America,5,52.1678993
2023,Central Asia,12,2.423867677
2023,East Asia,6,41.24862669
2023,South Asia,7,1.472492396
2023,South East Asia,8,52.51968316
2023,Oceania,9,36.48784314
2023,Eastern Europe,10,179.2364588
2023,Central and Western Europe,11,412.2696686
2024,North Africa,1,3.273386157
2024,sub-Saharan Africa,2,2.387918122
2024,Central America and the Caribbean,3,24.22249795
2024,North America,4,135.5185623
2024,South America,5,52.72619894
2024,Central Asia,12,1.863288423
2024,East Asia,6,429.1622313
2024,South Asia,7,11.39875885
2024,South East Asia,8,57.32561433
2024,Oceania,9,37.41417757
2024,Eastern Europe,10,221.5164233
2024,Central and Western Europe,11,472.3198989
2025,North Africa,1,33.87628366
2025,sub-Saharan Africa,2,21.51889528
2025,Central America and the Caribbean,3,17.57724625
2025,North America,4,966.6921529
2025,South America,5,54.52529557
2025,Central Asia,12,2.838914396
2025,East Asia,6,46.91351265
2025,South Asia,7,11.24572176
2025,South East Asia,8,66.58752394
2025,Oceania,9,38.34723172
2025,Eastern Europe,10,244.678239
2025,Central and Western Europe,11,546.8384524
